Month,Day,Hour,DryBulb,DNI,DHI,Solar Altitude,Solar Azimuth
3,1,8,-2.4,446,46,15.15471055,112.8978912
3,1,9,-1,651,84,25.6063017,124.1875371
3,1,10,-0.6,774,109,34.59457016,137.8995326
3,1,11,0.6,708,163,41.21871062,154.8066508
3,1,12,0.8,553,247,44.38580201,174.6489597
3,1,13,0.8,443,292,43.36648055,195.2699963
3,1,14,1.4,301,297,38.41440096,213.8581491
3,1,15,1.4,184,264,30.53026135,229.1827543
3,1,16,1.3,113,182,20.75317176,241.6284427
3,1,17,0.7,160,99,9.838716144,252.1070412
3,1,18,0.5,124,33,-1.713021961,261.4988661
3,3,8,-0.1,445,48,15.73545165,112.3782065
3,3,9,1.7,647,86,26.23648872,123.7012272
3,3,10,1.9,772,108,35.28558955,137.4927523
3,3,11,4.9,837,121,41.96592271,154.5726171
3,3,12,5.5,868,128,45.15264733,174.6971225
3,3,13,5.7,877,127,44.09195946,195.6177966
3,3,14,7.2,851,126,39.05499563,214.4011116
3,3,15,7.6,802,116,31.08036845,229.8068983
3,3,16,7.6,720,96,21.2292926,242.2742712
3,3,17,6.7,552,68,10.26295555,252.7577611
3,3,18,6.2,221,28,-1.318911516,262.1589855
3,5,8,2,474,51,16.32658693,111.8572132
3,5,9,4.5,667,91,26.87640566,123.2127475
3,5,10,5,784,113,35.98601327,137.0845689
3,5,11,7.8,858,122,42.7221591,154.3422586
3,5,12,8.7,893,126,45.92672331,174.7597253
3,5,13,8.9,896,126,44.82063301,195.9894918
3,5,14,10.4,876,122,39.69444449,214.9689834
3,5,15,10.9,829,112,31.62667032,230.4518816
3,5,16,11.1,739,96,21.70070806,242.9365006
3,5,17,9.8,571,69,10.6827576,253.4215465
3,5,18,8.8,231,29,-0.928239174,262.8298555
3,7,8,1,466,52,16.92704015,111.3349915
3,7,9,4.7,658,88,27.52496433,122.7219965
3,7,10,5.3,773,110,36.69476934,136.6746704
3,7,11,9.3,838,122,43.48640866,154.115201
3,7,12,9.6,872,127,46.70707123,174.836669
3,7,13,9.8,876,127,45.55155157,196.3850821
3,7,14,11.4,857,123,40.33189443,215.5613668
3,7,15,12,812,113,32.16851823,231.1169288
3,7,16,12,725,97,22.1669863,243.6141922
3,7,17,10.4,561,71,11.09786759,254.0974115
3,7,18,9.8,228,31,-0.541131328,263.510468
3,9,8,4.7,97,80,17.53570976,110.811583
3,9,9,7,90,158,28.18105486,122.2288308
3,9,10,7.5,79,246,37.41076921,136.2626901
3,9,11,9.1,85,278,44.25765339,153.8910015
3,9,12,8.2,32,234,47.49273817,174.927796
3,9,13,7.3,8,142,46.28378381,196.804508
3,9,14,6.7,1,77,40.96652783,216.177787
3,9,15,6.3,6,62,32.70531211,231.8011983
3,9,16,6,6,35,22.62774755,244.3063623
3,9,17,4.8,0,18,11.50807934,254.7843421
3,9,18,4.6,0,7,-0.157673058,264.1997974
3,11,8,-0.4,93,91,18.1514717,110.2869937
3,11,9,1.4,125,181,28.84354786,121.7330687
3,11,10,1.5,133,271,38.13290923,135.8482083
3,11,11,3.1,230,323,45.0348695,153.6691479
3,11,12,3.8,434,302,48.28277833,175.0328887
3,11,13,3.9,516,276,47.01641855,197.2476475
3,11,14,5.5,533,248,41.5975646,216.8176906
3,11,15,5.4,641,177,33.23650173,232.5037828
3,11,16,5.5,685,113,23.08266395,245.0119845
3,11,17,4.4,556,76,11.91323391,255.4812986
3,11,18,4.4,225,34,0.222089793,264.8968027
3,13,8,3.3,35,78,18.77318218,109.7611982
3,13,9,5.2,46,146,29.51129657,121.2344934
3,13,10,5.3,53,201,38.86007209,135.4307549
3,13,11,7.6,53,222,45.81702845,153.4490585
3,13,12,7.8,60,249,49.07625429,175.1516679
3,13,13,7.8,54,293,47.74856639,197.7143136
3,13,14,9.5,42,258,42.22426404,217.4804444
3,13,15,9.2,36,189,33.76158758,233.2237112
3,13,16,9.2,21,132,23.53145899,245.7299921
3,13,17,9.4,5,70,12.31321794,256.1872178
3,13,18,9.1,0,22,0.598148139,265.6004294
3,15,8,4.9,6,31,19.39968069,109.2341433
3,15,9,5.6,6,49,30.18313921,120.7328575
3,15,10,5.5,0,66,39.59112836,135.0098127
3,15,11,5.9,5,104,46.60309788,153.2300824
3,15,12,5.7,46,173,49.8722381,175.2837915
3,15,13,6,100,178,48.47936131,198.2042517
3,15,14,6.8,82,165,42.84592642,218.1653342
3,15,15,6.9,203,158,34.28012118,233.9599502
3,15,16,7.8,462,111,23.9739064,246.4592816
3,15,17,6.8,528,79,12.70796142,256.9010162
3,15,18,6.3,245,36,0.970526799,266.309612
3,17,8,0.5,528,65,20.02979303,108.7057528
3,17,9,3.1,707,98,30.85790135,120.227888
3,17,10,3.4,810,117,40.32493796,134.5848213
3,17,11,6.9,867,128,47.39204257,153.0114995
3,17,12,6.9,893,133,50.66981237,175.428853
3,17,13,6.6,896,133,49.20796209,198.7171375
3,17,14,7.5,878,129,43.46189427,218.8715647
3,17,15,8.2,834,119,34.79170512,234.7114077
3,17,16,8.1,752,103,24.40982864,247.1987155
3,17,17,7.2,601,78,13.09743516,257.6215925
3,17,18,7.3,252,37,1.339281302,267.0232761
3,19,8,2,8,43,20.66233447,108.1759326
3,19,9,2,51,112,31.53439845,119.7192913
3,19,10,2.1,141,178,41.0603518,134.1551814
3,19,11,3.4,149,252,48.18282523,152.7925219
3,19,12,3.7,81,298,51.46807115,175.5863805
3,19,13,3.8,81,286,49.93355351,199.2525752
3,19,14,3.9,122,266,44.0715534,219.5982589
3,19,15,4.1,122,228,35.29599255,235.4769348
3,19,16,3.7,175,173,24.83909494,247.947126
3,19,17,3.5,185,100,13.48164782,258.3478306
3,19,18,3.5,61,35,1.704494386,267.7403408
3,21,8,2.6,438,81,21.29611304,107.6445759
3,21,9,5.1,612,121,32.21143844,119.2067592
3,21,10,5.6,737,136,41.79621337,133.7202602
3,21,11,8.8,812,143,48.97440732,152.5722954
3,21,12,9.1,783,177,52.26612078,175.7558356
3,21,13,9.2,689,225,50.65534754,199.8100951
3,21,14,10.1,533,266,44.67433355,220.3444594
3,21,15,10.1,334,276,35.7926863,236.2553296
3,21,16,10,182,223,25.26161891,248.7033187
3,21,17,9,109,142,13.8606426,259.0786023
3,21,18,8.6,47,59,2.06627224,268.4597206
3,23,8,5.7,259,87,21.92993279,107.111569
3,23,9,7.5,376,166,32.88782445,118.6899755
3,23,10,7.3,377,232,42.53136047,133.2793973
3,23,11,8.7,416,267,49.76574976,152.349901
3,23,12,9.6,494,252,53.0630805,175.9366125
3,23,13,9.9,681,189,51.37258422,200.3891516
3,23,14,11.1,753,160,45.26970886,221.1091285
3,23,15,10.9,669,161,36.28153754,237.0453412
3,23,16,11,503,149,25.67735576,249.4660762
3,23,17,10.1,338,100,14.23449366,259.8127709
3,23,18,9.7,141,38,2.424740524,269.1803285
3,25,8,2.5,540,75,22.56259728,106.5767969
3,25,9,5.1,710,104,33.56235762,118.1686224
3,25,10,5.3,800,123,43.26462693,132.8319113
3,25,11,9.6,850,134,50.55581358,152.1243582
3,25,12,9.8,864,144,53.85808311,176.1280372
3,25,13,9.7,823,166,52.08453244,200.9891222
3,25,14,10.6,782,171,45.85719784,221.8911503
3,25,15,10.9,758,146,36.76234411,237.8456731
3,25,16,10.6,682,122,26.08629918,250.2341619
3,25,17,9.1,536,92,14.60330227,260.5491933
3,25,18,8.6,223,47,2.780040226,269.9010779
3,27,8,3.7,477,88,23.19291298,106.0401498
3,27,9,7.8,632,125,34.23384,117.6423882
3,27,10,8.9,715,154,43.99484447,132.3771077
3,27,11,12.4,710,198,51.34356056,151.8946278
3,27,12,12.5,656,247,54.6502753,176.3293669
3,27,13,12.7,610,266,52.79049059,201.6093051
3,27,14,13.9,609,243,46.43636318,222.6893322
3,27,15,14.5,599,206,37.23494834,238.6549879
3,27,16,14.5,563,161,26.48847787,251.0063237
3,27,17,13.7,521,101,14.96719268,261.2867236
3,27,18,12.9,373,45,3.1323234,270.6208847
3,29,8,6.7,252,125,23.81969284,105.5015292
3,29,9,10.1,413,180,34.90107764,117.110975
3,29,10,10.3,477,236,44.72084468,131.914287
3,29,11,13.7,396,320,52.1279538,151.6596159
3,29,12,13.5,393,344,55.43881804,176.5397895
3,29,13,13,486,294,53.48978695,202.248918
3,29,14,13.4,370,272,47.00681111,223.5024073
3,29,15,12,322,243,37.69923462,239.4719114
3,29,16,11.5,348,192,26.88395188,251.7812981
3,29,17,9.3,238,137,15.32630794,262.0242157
3,29,18,9,124,60,3.481748843,271.3386704
3,31,8,4.6,563,81,24.4417599,104.9608541
3,31,9,8.3,722,109,35.56288369,116.5741067
3,31,10,8.2,809,126,45.44146099,131.4427538
3,31,11,10.8,855,137,52.90795823,151.4181793
3,31,12,11.4,874,143,56.2228867,176.758423
3,31,13,11.1,873,143,54.18177994,202.9070969
3,31,14,11.8,852,139,47.56819057,224.3290371
3,31,15,11.9,808,130,38.15512662,240.2950375
3,31,16,11.6,719,117,27.27280861,252.5578139
3,31,17,10.7,578,91,15.68080552,262.760526
3,31,18,10.5,380,47,3.828477751,272.0533636
4,1,8,4.8,532,83,24.75066197,104.6897274
4,1,9,8.1,702,110,35.89138173,116.3035485
4,1,10,9.6,793,127,45.79938669,131.2035064
4,1,11,12.3,841,137,53.29599182,151.2946822
4,1,12,12.2,846,150,56.61298951,176.870524
4,1,13,12.1,819,162,54.52484546,203.2428559
4,1,14,13,795,159,47.84538127,224.746998
4,1,15,12.5,758,143,38.37991088,240.7084796
4,1,16,12.2,676,122,27.46478931,252.9462513
4,1,17,11,515,96,15.85637475,263.1278819
4,1,18,11,316,52,4.000880974,272.4092183
4,3,8,7.4,126,133,25.36348399,104.145874
4,3,9,11.1,167,222,36.54283871,115.7580477
4,3,10,11.4,132,286,46.50974941,130.7176351
4,3,11,12.8,138,300,54.06747761,151.0413703
4,3,12,13.9,138,306,57.3888325,177.0996664
4,3,13,14,72,263,55.20474659,203.9270815
4,3,14,14.8,46,189,48.39258998,225.5913016
4,3,15,14.7,253,176,38.82314647,241.5382147
4,3,16,14.5,436,163,27.84393381,253.7226872
4,3,17,13.9,316,115,16.20426183,263.8602874
4,3,18,13.6,147,55,4.343862004,273.1172856
4,5,8,7.5,520,92,25.9687188,103.5998842
4,5,9,10.5,678,119,37.18594991,115.2065521
4,5,10,10.6,780,133,47.21183479,130.2213995
4,5,11,13.3,817,148,54.8319984,150.778598
4,5,12,13.7,831,157,58.15820294,177.3345072
4,5,13,13.4,819,158,55.8758725,204.6273464
4,5,14,13.7,772,166,48.93003049,226.445522
4,5,15,13.1,760,148,39.25794769,242.3705276
4,5,16,12.9,713,119,28.21677215,254.4974754
4,5,17,11.8,565,95,16.54795922,264.5886803
4,5,18,11.6,361,52,4.684531987,273.8196287
4,7,8,5,582,88,26.56525354,103.0517896
4,7,9,8.3,726,115,37.81957993,114.6489289
4,7,10,8.3,806,132,47.90450109,129.7142036
4,7,11,11.1,850,142,55.58852971,150.5051003
4,7,12,11.1,869,148,58.92032624,177.5739184
4,7,13,10.9,870,148,56.53768669,205.3424903
4,7,14,11.5,853,143,49.4574896,227.3080965
4,7,15,11.8,814,133,39.68434967,243.2039367
4,7,16,11.8,730,121,28.58345458,255.2693451
4,7,17,10.9,576,100,16.88764036,265.311946
4,7,18,10.8,342,58,5.023027338,274.5152192
4,9,8,11.7,4,65,27.15200202,102.501668
4,9,9,13.3,7,135,38.44261614,114.0851062
4,9,10,13.5,45,219,48.58661955,129.1955072
4,9,11,15.9,63,271,56.33605134,150.2195974
4,9,12,16.4,55,276,59.6744415,177.8167015
4,9,13,16.3,56,266,57.18968189,206.0712661
4,9,14,16.9,39,249,49.97478915,228.1774076
4,9,15,17,299,199,40.1024111,244.0369487
4,9,16,17.1,513,147,28.94413963,256.0370322
4,9,17,16.5,323,118,17.22347366,266.0289835
4,9,18,16.6,114,62,5.359468518,275.2030452
4,11,8,8.4,582,94,27.72790843,101.9496488
4,11,9,9.9,731,118,39.05397245,113.5150815
4,11,10,10.1,810,135,49.2570774,128.6648391
4,11,11,11.2,860,144,57.0735481,149.9208054
4,11,12,11.6,876,153,60.41980103,178.0615879
4,11,13,11.7,860,163,57.83137939,206.8123384
4,11,14,11.7,846,158,50.48178359,229.0517863
4,11,15,11.1,817,140,40.51221045,244.8680634
4,11,16,11,737,124,29.29898988,256.7992832
4,11,17,10.2,610,99,17.55561847,266.738707
4,11,18,9.9,410,57,5.69395649,275.8821134
4,13,8,8.2,509,107,28.29195098,101.3959186
4,13,9,11,667,133,39.65259316,112.9389301
4,13,10,11.7,761,146,49.9147811,128.1218115
4,13,11,14.8,802,160,57.80001055,149.60745
4,13,12,14.6,807,174,61.15566978,178.3072401
4,13,13,14.5,812,172,58.46232825,207.5642831
