step,theta_mean,theta_std,theta_min,theta_max,delta_mean,delta_std,z_mean,z_std,dni,dhi,sun_x,sun_y,sun_z
0,45.0,0.0,45.0,45.0,0.20074729931698593,0.3818600340411501,0.19164804,0.4515155,669.0,89.0,-427.88299560546875,193.49600219726562,171.6840057373047
1,45.20074729931698,0.3818600340411503,44.424821823322866,46.030632199314006,0.1909106938538508,0.3705536878717573,0.18242526,0.4385951,211.0,30.0,-314.06298828125,386.6940002441406,42.803001403808594
2,45.39165799317084,0.7518293068436446,43.888125334533584,47.025179735532916,0.1953086271545426,0.37674261468477516,0.18695587,0.44519183,322.0,243.0,-291.04998779296875,223.2830047607422,339.7569885253906
3,45.58696662032538,1.1284908017595605,43.33364089156609,48.04335584041568,0.19382738806583136,0.37452231638332717,0.185114,0.44310772,270.0,40.0,-275.4739990234375,408.26800537109375,86.20700073242188
4,45.78079400839121,1.5029770078834985,42.78756952434134,49.04851186719341,0.200543052780576,0.38095532024272205,0.19199942,0.4500651,754.0,145.0,-383.2900085449219,-7.763000011444092,320.9800109863281
5,45.98133706117179,1.883604917856036,42.207875371445795,50.08565743111681,0.16828140597303265,0.33708474814319705,0.16254906,0.39937553,91.0,305.0,-101.68399810791016,-93.82599639892578,480.47601318359375
6,46.149618467144826,2.216465600252851,41.7399210397796,51.001813233514845,0.19499422685915763,0.3764461452833933,0.18650483,0.44489524,271.0,198.0,-185.83599853515625,339.0830078125,316.99798583984375
7,46.34461269400398,2.59288617233757,41.18874346426046,52.016137847930956,0.14815367706813606,0.30377219295688335,0.14418152,0.36128816,148.0,172.0,53.32500076293945,-388.4429931640625,310.27099609375
8,46.49276637107211,2.888804044645564,40.783330248925594,52.85063339067362,0.18327172401841976,0.3600438066932028,0.17543176,0.42637032,5.0,26.0,-98.6780014038086,476.3810119628906,115.427001953125
9,46.676038095090526,3.248666853626183,40.27183712948233,53.815695506000026,0.17651112068586514,0.3433547461054726,0.17121918,0.40581492,647.0,86.0,-101.86299896240234,-453.9100036621094,183.27499389648438
10,46.85254921577639,3.5905311313414403,39.76274954736525,54.77736513867324,0.1946170464248396,0.37532825261985236,0.18585834,0.44398558,303.0,42.0,-126.93000030517578,476.1510009765625,84.66699981689453
11,47.04716626220124,3.965354288423634,39.21397745612498,55.784920439409404,0.18082961812025586,0.3497464920221908,0.17539231,0.41292113,669.0,144.0,9.28499984741211,-399.510986328125,300.50799560546875
12,47.2279958803215,4.313949766710828,38.69142001401435,56.766071152125484,0.1831116826267283,0.3596553885983328,0.17526224,0.42600867,13.0,25.0,-144.4969940185547,474.3450012207031,64.16999816894531
13,47.41110756294822,4.673411768725276,38.18063759830501,57.7301454098685,0.14981107687623613,0.30696997029360445,0.14560913,0.36514536,141.0,178.0,-145.72999572753906,-372.27099609375,300.2950134277344
14,47.56091863982446,4.974979031859048,37.76948483291418,58.56994458360429,0.1410736748212973,0.2922757815220353,0.13738438,0.34847766,150.0,97.0,-71.32599639892578,-480.09600830078125,120.08699798583984
