U_Divisions,V_Divisions,t_parameter,Node_ID,Date_월일,Date_시간,Node_X,Node_Y,Node_Z,외피_ModuleShape_edge개수,외피_ModuleShape_둘레(m),외피_ModuleShape_면적(m2),열림각도,운동장_태양복사열,관중석_1 태양복사열,관중석_2 태양복사열,관중석 합산 태양복사열
42,86,0.65,0,2025-3-1,15:00,-363.999,187.759,286.795,,,,,,,,
42,86,0.65,1,2025-3-1,15:00,0,0,0,,,,,,,,
42,86,0.65,2,2025-3-1,15:00,0,65.939,53.101,4,20.692,25.465,41.45,1224.463,1033.195,1231.513,2264.708
42,86,0.65,3,2025-3-1,15:00,-9.444,65.001,52.63,5,22.345,29.728,37.702,1224.463,1033.195,1231.513,2264.708
42,86,0.65,4,2025-3-1,15:00,-19.294,60.664,53.352,5,24.202,34.701,34.725,1224.463,1033.195,1231.513,2264.708
42,86,0.65,5,2025-3-1,15:00,-29.968,56.507,53.468,5,25.652,38.69,32.486,1224.463,1033.195,1231.513,2264.708
42,86,0.65,6,2025-3-1,15:00,-40.349,50.6,53.62,5,26.522,41.054,31.243,1224.463,1033.195,1231.513,2264.708
42,86,0.65,7,2025-3-1,15:00,-49.486,43.173,53.843,5,26.771,41.574,31.5,1224.463,1033.195,1231.513,2264.708
42,86,0.65,8,2025-3-1,15:00,-56.481,34.702,54.191,5,26.594,40.73,33.725,1224.463,1033.195,1231.513,2264.708
42,86,0.65,9,2025-3-1,15:00,-61.146,25.986,54.604,5,26.14,38.58,37.024,1224.463,1033.195,1231.513,2264.708
42,86,0.65,10,2025-3-1,15:00,-63.855,17.862,54.928,5,25.227,34.461,39.968,1224.463,1033.195,1231.513,2264.708
42,86,0.65,11,2025-3-1,15:00,-65.127,10.767,55.045,5,23.998,29.435,41.927,1224.463,1033.195,1231.513,2264.708
42,86,0.65,12,2025-3-1,15:00,-66.495,4.512,55.181,4,23.051,25.985,42.98,1224.463,1033.195,1231.513,2264.708
