U_Divisions,V_Divisions,t_parameter,Node_ID,Date_월일,Date_시간,Node_X,Node_Y,Node_Z,외피_ModuleShape_edge개수,외피_ModuleShape_둘레(m),외피_ModuleShape_면적(m2),열림각도,운동장_태양복사열,관중석_1 태양복사열,관중석_2 태양복사열,관중석 합산 태양복사열
42,86,0.65,0,2025-3-1,12:00,-311.74,-183.379,345.239,,,,,,,,
42,86,0.65,1,2025-3-1,12:00,0,0,0,,,,,,,,
42,86,0.65,2,2025-3-1,12:00,0,65.939,53.101,4,20.692,25.465,56.906,3593.298,2086.952,3276.137,5363.089
42,86,0.65,3,2025-3-1,12:00,-9.444,65.001,52.63,5,22.345,29.728,58.701,3593.298,2086.952,3276.137,5363.089
42,86,0.65,4,2025-3-1,12:00,-18.991,59.704,53.679,5,24.202,34.701,60.188,3593.298,2086.952,3276.137,5363.089
42,86,0.65,5,2025-3-1,12:00,-29.456,55.428,53.89,5,25.652,38.69,61.477,3593.298,2086.952,3276.137,5363.089
42,86,0.65,6,2025-3-1,12:00,-39.616,49.501,54.163,5,26.522,41.054,62.617,3593.298,2086.952,3276.137,5363.089
42,86,0.65,7,2025-3-1,12:00,-48.564,42.192,54.536,5,26.771,41.574,63.635,3593.298,2086.952,3276.137,5363.089
42,86,0.65,8,2025-3-1,12:00,-55.477,33.978,55.028,5,26.594,40.73,64.42,3593.298,2086.952,3276.137,5363.089
42,86,0.65,9,2025-3-1,12:00,-60.201,25.532,55.509,5,26.14,38.58,64.71,3593.298,2086.952,3276.137,5363.089
42,86,0.65,10,2025-3-1,12:00,-63.014,17.619,55.827,5,25.227,34.461,64.85,3593.298,2086.952,3276.137,5363.089
42,86,0.65,11,2025-3-1,12:00,-64.374,10.669,55.896,5,23.998,29.435,65.123,3593.298,2086.952,3276.137,5363.089
42,86,0.65,12,2025-3-1,12:00,-65.911,4.496,55.855,4,23.051,25.985,65.387,3593.298,2086.952,3276.137,5363.089
42,86,0.65,13,2025-3-1,12:00,-65.952,-1.497,55.831,4,22.838,25.274,65.483,3593.298,2086.952,3276.137,5363.089
42,86,0.65,14,2025-3-1,12:00,-64.597,-7.582,55.884,5,23.755,28.689,65.868,3593.298,2086.952,3276.137,5363.089
42,86,0.65,15,2025-3-1,12:00,-63.445,-14.684,55.907,5,25.659,36.276,66.739,3593.298,2086.952,3276.137,5363.089
42,86,0.65,16,2025-3-1,12:00,-60.655,-23.728,55.672,5,27.963,45.581,68.205,3593.298,2086.952,3276.137,5363.089
42,86,0.65,17,2025-3-1,12:00,-55.535,-34.307,55.17,5,29.14,49.846,70.241,3593.298,2086.952,3276.137,5363.089
42,86,0.65,18,2025-3-1,12:00,-47.758,-44.578,54.57,5,28.995,48.918,72.018,3593.298,2086.952,3276.137,5363.089
42,86,0.65,19,2025-3-1,12:00,-37.633,-52.642,54.146,5,27.743,44.86,72.269,3593.298,2086.952,3276.137,5363.089
42,86,0.65,20,2025-3-1,12:00,-26.746,-58.037,53.906,5,25.296,37.739,71.479,3593.298,2086.952,3276.137,5363.089
42,86,0.65,21,2025-3-1,12:00,-17.042,-61.106,53.743,5,21.966,28.482,70.433,3593.298,2086.952,3276.137,5363.089
42,86,0.65,22,2025-3-1,12:00,-9.368,-62.506,53.607,5,19.265,21.34,69.334,3593.298,2086.952,3276.137,5363.089
42,86,0.65,23,2025-3-1,12:00,-3.038,-63.574,53.929,4,17.906,17.932,68.515,3593.298,2086.952,3276.137,5363.089
42,86,0.65,24,2025-3-1,12:00,3.038,-63.578,53.927,4,17.906,17.932,68.262,3593.298,2086.952,3276.137,5363.089
42,86,0.65,25,2025-3-1,12:00,9.151,-60.314,54.314,5,19.265,21.34,67.371,3593.298,2086.952,3276.137,5363.089
42,86,0.65,26,2025-3-1,12:00,17.744,-64.201,52.716,5,21.966,28.482,66.015,3593.298,2086.952,3276.137,5363.089
42,86,0.65,27,2025-3-1,12:00,27.92,-61.154,52.803,5,25.296,37.739,64.438,3593.298,2086.952,3276.137,5363.089
42,86,0.65,28,2025-3-1,12:00,39.415,-55.618,52.867,5,27.743,44.86,62.089,3593.298,2086.952,3276.137,5363.089
42,86,0.65,29,2025-3-1,12:00,50.254,-47.078,52.873,5,28.995,48.918,58.476,3593.298,2086.952,3276.137,5363.089
42,86,0.65,30,2025-3-1,12:00,58.475,-36.148,52.808,5,29.14,49.846,55.123,3593.298,2086.952,3276.137,5363.089
42,86,0.65,31,2025-3-1,12:00,63.692,-24.972,52.732,5,27.963,45.581,53.095,3593.298,2086.952,3276.137,5363.089
42,86,0.65,32,2025-3-1,12:00,66.413,-15.397,52.675,5,25.659,36.276,51.904,3593.298,2086.952,3276.137,5363.089
42,86,0.65,33,2025-3-1,12:00,67.449,-7.838,52.627,5,23.755,28.689,50.943,3593.298,2086.952,3276.137,5363.089
42,86,0.65,34,2025-3-1,12:00,68.273,-1.51,53.144,4,22.838,25.274,50.474,3593.298,2086.952,3276.137,5363.089
42,86,0.65,35,2025-3-1,12:00,68.249,4.56,53.157,4,23.051,25.985,50.375,3593.298,2086.952,3276.137,5363.089
42,86,0.65,36,2025-3-1,12:00,67.244,11.044,52.651,5,23.998,29.435,49.644,3593.298,2086.952,3276.137,5363.089
42,86,0.65,37,2025-3-1,12:00,65.938,18.465,52.703,5,25.227,34.461,48.345,3593.298,2086.952,3276.137,5363.089
42,86,0.65,38,2025-3-1,12:00,63.072,26.911,52.758,5,26.14,38.58,46.466,3593.298,2086.952,3276.137,5363.089
42,86,0.65,39,2025-3-1,12:00,58.13,35.893,52.816,5,26.594,40.73,45.07,3593.298,2086.952,3276.137,5363.089
42,86,0.65,40,2025-3-1,12:00,48.949,42.602,54.247,5,26.771,41.574,47.734,3593.298,2086.952,3276.137,5363.089
42,86,0.65,41,2025-3-1,12:00,39.855,49.859,53.986,5,26.522,41.054,50.127,3593.298,2086.952,3276.137,5363.089
42,86,0.65,42,2025-3-1,12:00,30.78,58.217,52.8,5,25.652,38.69,52.006,3593.298,2086.952,3276.137,5363.089
42,86,0.65,43,2025-3-1,12:00,19.878,62.512,52.724,5,24.202,34.701,53.598,3593.298,2086.952,3276.137,5363.089
42,86,0.65,44,2025-3-1,12:00,9.444,65.001,52.63,5,22.345,29.728,55.15,3593.298,2086.952,3276.137,5363.089
42,86,0.65,45,2025-3-1,12:00,-4.752,66.607,55.72,6,35.592,53.894,57.786,3593.298,2086.952,3276.137,5363.089
42,86,0.65,46,2025-3-1,12:00,-13.971,60.482,57.501,6,38.523,63.937,59.393,3593.298,2086.952,3276.137,5363.089
42,86,0.65,47,2025-3-1,12:00,-24.391,56.989,57.876,6,41.082,72.784,60.737,3593.298,2086.952,3276.137,5363.089
42,86,0.65,48,2025-3-1,12:00,-34.963,51.821,58.313,6,43.022,79.125,61.89,3593.298,2086.952,3276.137,5363.089
42,86,0.65,49,2025-3-1,12:00,-44.842,45.163,58.866,6,44.22,82.108,62.886,3593.298,2086.952,3276.137,5363.089
42,86,0.65,50,2025-3-1,12:00,-53.124,37.426,59.585,6,44.79,81.924,63.739,3593.298,2086.952,3276.137,5363.089
42,86,0.65,51,2025-3-1,12:00,-59.323,29.165,60.367,6,44.987,79.185,64.199,3593.298,2086.952,3276.137,5363.089
42,86,0.65,52,2025-3-1,12:00,-63.464,21.1,60.974,6,44.603,72.964,64.397,3593.298,2086.952,3276.137,5363.089
42,86,0.65,53,2025-3-1,12:00,-65.766,13.875,61.212,6,43.292,63.012,64.7,3593.298,2086.952,3276.137,5363.089
