U_Divisions,V_Divisions,t_parameter,Node_ID,Date_월일,Date_시간,Node_X,Node_Y,Node_Z,외피_ModuleShape_edge개수,외피_ModuleShape_둘레(m),외피_ModuleShape_면적(m2),열림각도,운동장_태양복사열,관중석_1 태양복사열,관중석_2 태양복사열,관중석 합산 태양복사열
42,86,0.65,0,2025-3-1,10:00,-185.559,-387.793,255.312,,,,,,,,
42,86,0.65,1,2025-3-1,10:00,0,0,0,,,,,,,,
42,86,0.65,2,2025-3-1,10:00,0,65.939,53.101,4,20.692,25.465,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,3,2025-3-1,10:00,-9.444,65.001,52.63,5,22.345,29.728,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,4,2025-3-1,10:00,-19.155,60.222,53.503,5,24.202,34.701,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,5,2025-3-1,10:00,-29.713,55.97,53.678,5,25.652,38.69,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,6,2025-3-1,10:00,-39.975,50.039,53.897,5,26.522,41.054,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,7,2025-3-1,10:00,-49.031,42.688,54.186,5,26.771,41.574,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,8,2025-3-1,10:00,-56.042,34.385,54.558,5,26.594,40.73,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,9,2025-3-1,10:00,-60.818,25.829,54.918,5,26.14,38.58,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,10,2025-3-1,10:00,-63.648,17.803,55.149,5,25.227,34.461,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,11,2025-3-1,10:00,-65.005,10.751,55.183,5,23.998,29.435,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,12,2025-3-1,10:00,-66.43,4.51,55.256,4,23.051,25.985,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,13,2025-3-1,10:00,-66.469,-1.5,55.233,4,22.838,25.274,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,14,2025-3-1,10:00,-65.237,-7.639,55.152,5,23.755,28.689,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,15,2025-3-1,10:00,-64.123,-14.847,55.169,5,25.659,36.276,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,16,2025-3-1,10:00,-61.367,-24.019,54.983,5,27.963,45.581,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,17,2025-3-1,10:00,-56.251,-34.755,54.595,5,29.14,49.846,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,18,2025-3-1,10:00,-48.39,-45.211,54.141,5,28.995,48.918,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,19,2025-3-1,10:00,-38.089,-53.403,53.818,5,27.743,44.86,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,20,2025-3-1,10:00,-27.043,-58.826,53.627,5,25.296,37.739,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,21,2025-3-1,10:00,-17.216,-61.872,53.489,5,21.966,28.482,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,22,2025-3-1,10:00,-9.44,-63.232,53.373,5,19.265,21.34,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,23,2025-3-1,10:00,-3.046,-64.153,53.742,4,17.906,17.932,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,24,2025-3-1,10:00,3.046,-64.153,53.742,4,17.906,17.932,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,25,2025-3-1,10:00,9.27,-61.523,53.924,5,19.265,21.34,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,26,2025-3-1,10:00,17.742,-64.191,52.719,5,21.966,28.482,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,27,2025-3-1,10:00,27.92,-61.154,52.803,5,25.296,37.739,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,28,2025-3-1,10:00,39.415,-55.618,52.867,5,27.743,44.86,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,29,2025-3-1,10:00,50.254,-47.078,52.873,5,28.995,48.918,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,30,2025-3-1,10:00,58.475,-36.148,52.808,5,29.14,49.846,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,31,2025-3-1,10:00,63.692,-24.972,52.732,5,27.963,45.581,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,32,2025-3-1,10:00,66.413,-15.397,52.675,5,25.659,36.276,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,33,2025-3-1,10:00,67.449,-7.838,52.627,5,23.755,28.689,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,34,2025-3-1,10:00,68.273,-1.51,53.144,4,22.838,25.274,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,35,2025-3-1,10:00,68.249,4.56,53.157,4,23.051,25.985,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,36,2025-3-1,10:00,67.244,11.044,52.651,5,23.998,29.435,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,37,2025-3-1,10:00,65.938,18.465,52.703,5,25.227,34.461,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,38,2025-3-1,10:00,63.072,26.911,52.758,5,26.14,38.58,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,39,2025-3-1,10:00,58.13,35.893,52.816,5,26.594,40.73,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,40,2025-3-1,10:00,49.031,42.688,54.186,5,26.771,41.574,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,41,2025-3-1,10:00,39.975,50.039,53.897,5,26.522,41.054,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,42,2025-3-1,10:00,30.78,58.217,52.8,5,25.652,38.69,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,43,2025-3-1,10:00,19.878,62.512,52.724,5,24.202,34.701,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,44,2025-3-1,10:00,9.444,65.001,52.63,5,22.345,29.728,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,45,2025-3-1,10:00,-4.752,66.607,55.72,6,35.592,53.894,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,46,2025-3-1,10:00,-14.164,61.282,57.225,6,38.523,63.937,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,47,2025-3-1,10:00,-24.727,57.847,57.549,6,41.082,72.784,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,48,2025-3-1,10:00,-35.454,52.698,57.914,6,43.022,79.125,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,49,2025-3-1,10:00,-45.499,46.01,58.353,6,44.22,82.108,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,50,2025-3-1,10:00,-53.953,38.175,58.902,6,44.79,81.924,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,51,2025-3-1,10:00,-60.273,29.751,59.486,6,44.987,79.185,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,52,2025-3-1,10:00,-64.464,21.502,59.928,6,44.603,72.964,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,53,2025-3-1,10:00,-66.775,14.094,60.073,6,43.292,63.012,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,54,2025-3-1,10:00,-67.708,7.583,59.956,6,41.753,54.278,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,55,2025-3-1,10:00,-67.912,1.514,59.821,6,40.815,49.908,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,56,2025-3-1,10:00,-67.836,-4.536,59.88,6,41.302,52.332,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,57,2025-3-1,10:00,-67.16,-11.014,60.035,6,43.288,63.376,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,58,2025-3-1,10:00,-65.053,-19.016,59.993,6,46.167,81.742,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,59,2025-3-1,10:00,-60.668,-29.032,59.59,6,48.156,96.233,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,60,2025-3-1,10:00,-53.609,-39.773,58.951,6,48.188,99.272,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,61,2025-3-1,10:00,-44.045,-49.129,58.299,6,46.585,93.564,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,62,2025-3-1,10:00,-32.919,-55.923,57.827,6,43.584,82.133,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,63,2025-3-1,10:00,-22.174,-60.16,57.488,6,39.215,65.48,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,64,2025-3-1,10:00,-13.305,-62.358,57.207,6,34.597,48.215,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,65,2025-3-1,10:00,-6.264,-63.215,56.995,6,31.695,37.996,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,66,2025-3-1,10:00,0,-63.388,56.914,6,30.702,34.68,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,67,2025-3-1,10:00,6.264,-63.215,56.995,6,31.695,37.996,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,68,2025-3-1,10:00,13.898,-66.032,55.956,6,34.597,48.215,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,69,2025-3-1,10:00,23.29,-63.918,56.143,6,39.215,65.48,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,70,2025-3-1,10:00,34.673,-59.63,56.319,6,43.584,82.133,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,71,2025-3-1,10:00,46.615,-52.53,56.406,6,46.585,93.564,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,72,2025-3-1,10:00,57.002,-42.509,56.315,6,48.188,99.272,45,2014.251,2117.391,2681.117,4798.508
42,86,0.65,73,2025-3-1,10:00,64.419,-31.027,56.137,6,48.156,96.233,45,2014.251,2117.391,2681.117,4798.508
