x,y,z,theta_init
0.0,65.939,53.101,6.651
-9.444,65.001,52.63,8.284
-19.681,61.889,52.936,10.93
-30.409,57.434,53.106,14.094
-40.767,51.227,53.31,17.921
-49.822,43.529,53.591,22.735
-56.711,34.869,53.999,28.38
-61.317,26.069,54.439,33.176
-63.99,17.902,54.784,36.879
-65.221,10.779,54.939,39.676
-66.547,4.514,55.122,41.425
-66.569,-1.501,55.117,41.912
-65.302,-7.645,55.078,43.338
-64.083,-14.837,55.212,46.02
-61.199,-23.95,55.146,49.429
-55.926,-34.552,54.856,54.428
-47.938,-44.758,54.448,61.863
-37.658,-52.685,54.127,69.842
-26.724,-57.979,53.927,75.011
-17.016,-60.99,53.781,77.912
-9.353,-62.357,53.655,79.355
-3.036,-63.437,53.973,79.543
3.036,-63.438,53.972,79.392
9.119,-59.995,54.416,78.465
17.745,-64.206,52.715,76.226
27.92,-61.154,52.803,72.819
39.415,-55.618,52.867,67.404
50.254,-47.078,52.873,59.414
58.475,-36.148,52.808,52.157
63.692,-24.972,52.732,47.386
66.413,-15.397,52.675,44.143
67.449,-7.838,52.627,41.547
68.273,-1.51,53.144,40.161
68.249,4.56,53.157,39.695
67.244,11.044,52.651,37.954
65.938,18.465,52.703,35.133
63.072,26.911,52.758,31.357
58.13,35.893,52.816,26.469
49.9,43.613,53.532,20.763
40.833,51.326,53.261,15.944
30.78,58.217,52.8,12.189
19.878,62.512,52.724,9.237
9.444,65.001,52.63,7.119
-4.752,66.607,55.72,7.578
-14.836,64.077,56.26,9.785
-25.721,60.385,56.583,12.562
-36.669,54.869,56.925,15.836
-46.813,47.702,57.329,19.844
-55.195,39.295,57.879,24.879
-61.287,30.377,58.545,29.95
-65.204,21.8,59.154,34.229
-67.254,14.198,59.531,37.833
-67.995,7.605,59.622,40.514
-68.109,1.515,59.589,41.808
-67.991,-4.542,59.699,42.516
-67.158,-11.013,60.038,45.039
-64.837,-18.942,60.223,48.485
-60.217,-28.791,60.006,52.707
-52.926,-39.222,59.481,58.662
-43.288,-48.127,58.856,66.579
-32.305,-54.626,58.355,72.815
-21.755,-58.75,57.993,76.666
-13.076,-60.937,57.69,78.811
-6.197,-61.828,57.455,79.579
0.0,-62.029,57.363,79.5
6.197,-61.835,57.453,79.097
13.898,-66.032,55.956,77.469
23.29,-63.918,56.143,74.678
34.673,-59.63,56.319,70.463
46.615,-52.53,56.406,64.115
57.002,-42.509,56.315,56.3
64.419,-31.027,56.137,50.567
68.821,-20.306,55.983,46.551
70.801,-11.633,55.865,43.229
71.342,-4.668,55.772,40.766
71.379,1.53,55.748,40.084
71.259,7.849,55.815,38.81
70.444,14.891,55.927,36.131
68.176,22.995,56.047,32.485
63.836,31.949,56.181,28.123
55.327,39.414,57.77,22.97
46.927,47.849,57.24,17.903
37.453,56.268,56.288,13.928
26.167,61.524,56.15,10.787
15.052,64.973,55.951,8.346
4.752,66.607,55.72,6.925
0.0,68.505,60.717,7.656
-10.146,66.934,61.312,9.183
-21.321,64.134,61.804,11.542
-33.017,59.432,62.264,14.3
-44.478,52.929,62.697,17.564
-54.799,44.9,63.139,21.59
-63.11,35.872,63.642,26.331
-69.048,26.706,64.145,30.81
-72.6,18.28,64.547,34.997
-74.107,11.052,64.707,38.786
-74.431,4.653,64.656,41.269
-74.412,-1.555,64.638,41.975
-74.027,-7.836,64.98,44.013
-72.393,-15.023,65.414,47.69
-68.436,-24.182,65.526,51.893
-61.503,-34.95,65.249,56.816
-51.796,-45.323,64.736,63.345
-40.241,-53.443,64.154,70.216
-28.423,-58.945,63.637,74.897
-18.095,-62.114,63.171,77.745
-9.987,-63.554,62.765,79.262
-3.242,-63.995,62.514,79.464
3.242,-63.998,62.514,79.304
9.988,-63.569,62.76,78.337
19.202,-66.911,61.416,76.022
30.206,-63.682,61.768,72.692
44.527,-60.875,60.609,67.794
55.158,-49.046,62.089,60.933
65.283,-37.771,61.872,54.592
72.232,-26.157,61.554,49.897
75.983,-16.146,61.257,45.862
77.323,-8.225,61.008,42.277
77.511,-1.579,60.872,40.282
77.509,4.764,60.921,39.599
77.107,11.567,61.12,37.138
75.379,19.323,61.379,33.343
71.459,28.143,61.643,29.1
63.226,35.969,63.535,24.538
54.905,45.023,63.05,19.741
44.566,53.068,62.623,15.715
33.57,60.629,61.752,12.532
21.627,65.111,61.436,9.993
10.276,67.713,61.036,8.136
-5.242,70.01,65.6,9.063
-16.398,67.444,66.5,10.98
-28.522,63.615,67.087,13.342
-40.901,57.875,67.602,16.069
-52.722,50.415,68.047,19.339
-63.075,41.606,68.459,23.367
-71.221,32.131,68.853,27.673
-76.776,22.945,69.21,31.923
-79.655,14.878,69.453,36.374
-80.554,7.981,69.442,40.005
-80.595,1.597,69.352,41.836
-80.486,-4.77,69.517,42.879
-79.536,-11.494,70.042,46.341
-76.518,-19.759,70.425,50.822
-70.291,-30.234,70.404,55.348
-60.805,-41.503,70.082,60.71
-48.927,-51.287,69.562,67.305
-36.11,-58.376,68.982,72.654
-24.187,-62.804,68.409,76.191
-14.498,-65.062,67.867,78.362
-6.841,-65.894,67.449,79.185
0.0,-66.046,67.285,79.111
6.841,-65.902,67.446,78.688
14.502,-65.085,67.859,77.006
25.521,-67.215,66.628,74.207
38.065,-62.615,67.065,70.336
51.568,-55.129,67.309,64.899
64.025,-44.663,67.208,58.421
73.729,-32.68,66.846,53.284
79.937,-21.428,66.415,48.963
82.762,-12.292,66.022,44.612
83.463,-4.938,65.739,41.221
83.49,1.618,65.672,40.207
83.389,8.294,65.858,38.406
82.3,15.71,66.192,34.797
79.066,24.233,66.56,30.33
73.094,33.628,66.899,26.014
63.169,41.707,68.371,21.636
52.804,50.532,67.973,17.581
41.548,59.099,66.995,14.351
28.921,64.658,66.645,11.766
16.607,68.308,66.165,9.731
5.242,70.01,65.6,8.501
0.0,72.348,69.717,9.578
-11.128,70.303,70.715,10.876
-23.418,67.402,71.412,12.886
-36.381,62.498,72.021,15.206
-49.3,55.728,72.524,17.916
-61.332,47.371,72.927,21.207
-71.602,37.911,73.26,25.09
-79.405,28.202,73.546,29.128
-84.261,19.229,73.802,33.517
-86.288,11.602,73.9,38.053
-86.666,4.892,73.798,41.164
-86.618,-1.636,73.776,42.13
-86.211,-8.215,74.209,44.728
-84.202,-15.73,74.762,49.214
-79.075,-25.419,74.975,53.929
-70.172,-36.93,74.853,58.612
-58.237,-48.109,74.489,64.239
-44.719,-56.911,73.944,70.038
-31.401,-62.839,73.333,74.173
-19.949,-66.209,72.711,76.88
-10.981,-67.668,72.157,78.422
-3.548,-68.055,71.814,78.663
3.548,-68.058,71.813,78.498
10.983,-67.682,72.152,77.51
20.915,-70.278,70.973,75.199
32.892,-66.797,71.515,72.034
46.763,-60.63,71.933,67.701
60.852,-51.381,72.038,61.925
73.143,-39.64,71.756,56.49
82.176,-27.514,71.277,52.031
87.275,-17.012,70.779,47.485
89.092,-8.679,70.359,43.101
89.327,-1.668,70.134,40.554
89.335,5.029,70.213,39.616
